"[47.496264000000004, 19.055892999999998]"
"[47.495195000000002, 19.053082999999997]"
"[47.496169999999999, 19.052489999999999]"
"[47.492965000000005, 19.052534999999999]"
"[47.490590000000005, 19.054870000000001]"
"[47.490829999999995, 19.054210000000001]"
"[47.492802000000005, 19.053383]"
"[47.505865999999997, 19.053516000000002]"
"[47.502088000000001, 19.054073000000002]"
"[47.503479999999996, 19.05273]"
"[47.499650000000003, 19.089189999999999]"
"[47.498055000000001, 19.08258]"
"[47.496200000000002, 19.081626999999997]"
"[47.495346999999995, 19.07854]"
"[47.499648000000001, 19.095652999999999]"
"[47.498179999999998, 19.082982999999999]"
"[47.499629999999996, 19.087885]"
"[47.499653000000002, 19.099270000000001]"
"[47.499724999999998, 19.103207999999999]"
"[47.499648000000001, 19.091363000000001]"
"[47.499071999999998, 19.084973000000002]"
"[47.494309999999999, 19.05885]"
"[47.501059999999995, 19.057015]"
"[47.497958000000004, 19.057744]"
"[47.495837999999999, 19.057245000000002]"
"[47.504527000000003, 19.057397000000002]"
"[47.503729999999997, 19.057690000000001]"
"[47.506553000000004, 19.055727999999998]"
"[47.501818999999998, 19.058126000000001]"
"[47.502502, 19.056372]"
"[47.504600000000003, 19.054337]"
"[47.506120000000003, 19.057029999999997]"
"[47.498863, 19.059820000000002]"
"[47.494329999999998, 19.073139999999999]"
"[47.499858000000003, 19.060113000000001]"
"[47.501013, 19.057903]"
"[47.505299999999998, 19.05359]"
"[47.494419999999998, 19.07591]"
"[47.493673999999999, 19.071107999999999]"
"[47.506740000000001, 19.055959999999999]"
"[47.479290999999996, 19.081536]"
"[47.484259999999999, 19.070360000000001]"
"[47.48169, 19.078510000000001]"
"[47.481031999999999, 19.077756000000001]"
"[47.48021, 19.076220000000003]"
"[47.480741999999999, 19.074643999999999]"
"[47.479690000000005, 19.080779999999997]"
"[47.481334999999994, 19.072724999999998]"
"[47.482909999999997, 19.070810000000002]"
"[47.484650000000002, 19.069654999999997]"
"[47.481392999999997, 19.072886999999998]"
"[47.51023, 19.08492]"
"[47.510109999999997, 19.084900000000001]"
"[47.504513000000003, 19.067534999999999]"
"[47.503638000000002, 19.065135999999999]"
"[47.502509000000003, 19.063085000000001]"
"[47.508524000000001, 19.083873000000001]"
"[47.511765999999994, 19.069364]"
"[47.514623, 19.072292999999998]"
"[47.511109999999995, 19.08437]"
"[47.506300000000003, 19.080089999999998]"
"[47.503098000000001, 19.077535999999998]"
"[47.505165999999996, 19.078689999999998]"
"[47.509284999999998, 19.083400000000001]"
"[47.506895, 19.081145000000003]"
"[47.512990000000002, 19.081789999999998]"
"[47.501529999999995, 19.07639]"
"[47.500304999999997, 19.07602]"
"[47.512124999999997, 19.083335000000002]"
"[47.516521999999995, 19.075597999999999]"
"[47.515309999999999, 19.072865]"
"[47.498490000000004, 19.07574]"
"[47.511246999999997, 19.084097]"
"[47.511479999999999, 19.084250000000001]"
"[47.498922999999998, 19.075939999999999]"
"[47.500422999999998, 19.076273]"
"[47.508315000000003, 19.065570000000001]"
"[47.507725000000001, 19.064634999999999]"
"[47.512836999999998, 19.082407]"
"[47.514158000000002, 19.079740000000001]"
"[47.516072999999999, 19.078210000000002]"
"[47.508009999999999, 19.06512]"
"[47.495117, 19.06241]"
